loop1,loop2,loop3,time
240.0,300.0,180.0,382.0
240.0,240.0,300.0,383.0
240.0,240.0,300.0,384.0
240.0,240.0,240.0,385.0
240.0,240.0,240.0,386.0
240.0,240.0,420.0,387.0
240.0,240.0,180.0,388.0
300.0,360.0,240.0,389.0
300.0,240.0,300.0,390.0
360.0,300.0,300.0,391.0
300.0,360.0,300.0,392.0
300.0,300.0,300.0,393.0
300.0,300.0,300.0,394.0
300.0,300.0,300.0,395.0
300.0,300.0,360.0,396.0
300.0,300.0,300.0,397.0
360.0,360.0,300.0,398.0
300.0,240.0,300.0,399.0
420.0,360.0,240.0,400.0
300.0,300.0,420.0,401.0
300.0,360.0,360.0,402.0
300.0,300.0,300.0,403.0
300.0,300.0,300.0,404.0
300.0,300.0,300.0,405.0
300.0,360.0,240.0,406.0
300.0,300.0,420.0,407.0
300.0,300.0,360.0,408.0
360.0,300.0,300.0,409.0
300.0,300.0,240.0,410.0
360.0,420.0,300.0,411.0
420.0,360.0,420.0,412.0
360.0,420.0,360.0,413.0
360.0,300.0,360.0,414.0
360.0,420.0,360.0,415.0
420.0,360.0,360.0,416.0
360.0,360.0,540.0,417.0
360.0,360.0,420.0,418.0
360.0,360.0,300.0,419.0
360.0,360.0,360.0,420.0
480.0,480.0,420.0,421.0
420.0,420.0,420.0,422.0
540.0,480.0,420.0,423.0
480.0,420.0,480.0,424.0
420.0,420.0,360.0,425.0
420.0,420.0,540.0,426.0
420.0,480.0,360.0,427.0
420.0,420.0,480.0,428.0
420.0,420.0,420.0,429.0
480.0,420.0,480.0,430.0
420.0,480.0,480.0,431.0
480.0,420.0,540.0,432.0
420.0,480.0,420.0,433.0
420.0,420.0,480.0,434.0
420.0,480.0,420.0,435.0
420.0,420.0,420.0,436.0
480.0,480.0,420.0,437.0
420.0,360.0,480.0,438.0
420.0,480.0,360.0,439.0
480.0,420.0,540.0,440.0
420.0,480.0,360.0,441.0
480.0,360.0,480.0,442.0
420.0,480.0,360.0,443.0
420.0,600.0,480.0,444.0
420.0,420.0,480.0,445.0
480.0,420.0,480.0,446.0
540.0,420.0,300.0,447.0
540.0,600.0,480.0,448.0
480.0,480.0,600.0,449.0
540.0,480.0,480.0,450.0
540.0,600.0,540.0,451.0
600.0,540.0,540.0,452.0
540.0,540.0,600.0,453.0
600.0,600.0,540.0,454.0
540.0,540.0,660.0,455.0
540.0,660.0,540.0,456.0
540.0,540.0,540.0,457.0
600.0,540.0,600.0,458.0
540.0,660.0,540.0,459.0
600.0,480.0,540.0,460.0
540.0,600.0,540.0,461.0
600.0,540.0,660.0,462.0
540.0,540.0,480.0,463.0
540.0,600.0,660.0,464.0
540.0,600.0,540.0,465.0
600.0,540.0,540.0,466.0
600.0,540.0,600.0,467.0
540.0,600.0,480.0,468.0
540.0,540.0,600.0,469.0
660.0,540.0,600.0,470.0
540.0,600.0,540.0,471.0
540.0,540.0,480.0,472.0
540.0,540.0,600.0,473.0
540.0,600.0,600.0,474.0
600.0,540.0,540.0,475.0
600.0,480.0,540.0,476.0
600.0,600.0,480.0,477.0
540.0,660.0,660.0,478.0
720.0,540.0,720.0,479.0
600.0,720.0,360.0,480.0
720.0,660.0,1020.0,481.0
660.0,840.0,660.0,482.0
660.0,660.0,660.0,483.0
720.0,660.0,720.0,484.0
600.0,720.0,600.0,485.0
660.0,660.0,720.0,486.0
660.0,660.0,600.0,487.0
660.0,660.0,840.0,488.0
660.0,660.0,600.0,489.0
660.0,660.0,660.0,490.0
600.0,660.0,660.0,491.0
660.0,600.0,660.0,492.0
720.0,660.0,720.0,493.0
600.0,600.0,540.0,494.0
660.0,660.0,660.0,495.0
600.0,660.0,600.0,496.0
600.0,540.0,660.0,497.0
660.0,600.0,660.0,498.0
600.0,720.0,540.0,499.0
600.0,480.0,720.0,500.0
540.0,600.0,540.0,501.0
600.0,660.0,540.0,502.0
600.0,540.0,600.0,503.0
600.0,660.0,600.0,504.0
660.0,600.0,540.0,505.0
540.0,660.0,720.0,506.0
600.0,540.0,540.0,507.0
600.0,720.0,660.0,508.0
540.0,480.0,480.0,509.0
540.0,600.0,480.0,510.0
600.0,600.0,720.0,511.0
540.0,600.0,600.0,512.0
600.0,540.0,540.0,513.0
540.0,540.0,540.0,514.0
540.0,540.0,540.0,515.0
540.0,600.0,540.0,516.0
660.0,540.0,540.0,517.0
540.0,600.0,660.0,518.0
540.0,540.0,540.0,519.0
540.0,540.0,600.0,520.0
540.0,600.0,480.0,521.0
600.0,540.0,720.0,522.0
600.0,540.0,420.0,523.0
540.0,600.0,600.0,524.0
540.0,540.0,600.0,525.0
540.0,600.0,600.0,526.0
600.0,540.0,540.0,527.0
540.0,540.0,480.0,528.0
600.0,660.0,600.0,529.0
540.0,480.0,600.0,530.0
540.0,600.0,540.0,531.0
600.0,540.0,480.0,532.0
540.0,540.0,600.0,533.0
540.0,660.0,600.0,534.0
600.0,540.0,540.0,535.0
540.0,480.0,600.0,536.0
600.0,600.0,480.0,537.0
540.0,540.0,720.0,538.0
540.0,540.0,480.0,539.0
660.0,600.0,540.0,540.0
540.0,540.0,600.0,541.0
540.0,600.0,540.0,542.0
540.0,540.0,600.0,543.0
540.0,540.0,540.0,544.0
600.0,540.0,540.0,545.0
540.0,600.0,540.0,546.0
600.0,540.0,480.0,547.0
540.0,540.0,780.0,548.0
540.0,600.0,420.0,549.0
540.0,540.0,600.0,550.0
600.0,660.0,600.0,551.0
540.0,540.0,600.0,552.0
600.0,540.0,480.0,553.0
540.0,600.0,660.0,554.0
540.0,540.0,540.0,555.0
600.0,540.0,540.0,556.0
540.0,540.0,600.0,557.0
540.0,600.0,540.0,558.0
600.0,600.0,600.0,559.0
540.0,540.0,600.0,560.0
600.0,540.0,660.0,561.0
540.0,540.0,420.0,562.0
660.0,600.0,600.0,563.0
540.0,540.0,660.0,564.0
540.0,600.0,600.0,565.0
540.0,540.0,600.0,566.0
540.0,540.0,420.0,567.0
540.0,720.0,660.0,568.0
600.0,540.0,660.0,569.0
600.0,540.0,540.0,570.0
540.0,600.0,720.0,571.0
540.0,540.0,480.0,572.0
540.0,480.0,600.0,573.0
600.0,660.0,420.0,574.0
540.0,600.0,660.0,575.0
600.0,600.0,540.0,576.0
540.0,540.0,540.0,577.0
540.0,540.0,600.0,578.0
600.0,540.0,540.0,579.0
540.0,540.0,600.0,580.0
540.0,600.0,540.0,581.0
540.0,540.0,540.0,582.0
